0.000000	0.009999	0.000100
0.100000	0.010095	0.000103
0.200000	0.010396	0.000112
0.300000	0.010750	0.000125
0.400000	0.011304	0.000143
0.500000	0.011620	0.000155
0.600000	0.012280	0.000179
0.700000	0.012808	0.000199
0.800000	0.013611	0.000232
0.900000	0.014279	0.000260
1.000000	0.015415	0.000310
1.100000	0.016367	0.000360
1.200000	0.017240	0.000400
1.300000	0.018052	0.000444
1.400000	0.019610	0.000536
1.500000	0.021137	0.000617
1.600000	0.022253	0.000699
1.700000	0.024139	0.000845
1.800000	0.025492	0.000922
1.900000	0.028673	0.001190
2.000000	0.029848	0.001270
2.100000	0.034861	0.001776
2.200000	0.037977	0.002126
2.300000	0.040789	0.002399
2.400000	0.048969	0.003535
2.500000	0.050968	0.003795
2.600000	0.065638	0.006360
2.700000	0.078738	0.009085
2.799999	0.102909	0.015209
2.899999	0.138232	0.027202
2.999999	0.208635	0.056322
3.099999	0.237854	0.072238
3.199999	0.327716	0.121638
3.299999	0.400459	0.173017
3.399999	0.449201	0.212729
3.499999	0.490383	0.249665
3.599999	0.526875	0.284908
3.699999	0.548870	0.309196
3.799999	0.577802	0.340628
3.899998	0.594667	0.360088
3.999998	0.613841	0.382747
4.099998	0.624499	0.396607
4.199998	0.644559	0.421032
4.299998	0.657740	0.437818
4.399998	0.671715	0.456024
4.499998	0.682813	0.470938
4.599998	0.696383	0.489162
4.699998	0.705916	0.502396
4.799998	0.715009	0.515168
4.899998	0.722421	0.525682
4.999998	0.731081	0.538081
5.099998	0.738321	0.548580
5.199997	0.745771	0.559477
5.299997	0.752622	0.569641
5.399997	0.758363	0.578241
5.499997	0.763941	0.586673
5.599997	0.769426	0.594992
5.699997	0.774920	0.603402
5.799997	0.780037	0.611269
5.899997	0.785383	0.619562
5.999997	0.789511	0.625979
0.000000	0.009999	0.000100
0.100000	0.010095	0.000103
0.200000	0.010396	0.000112
0.300000	0.010750	0.000125
0.400000	0.011304	0.000143
0.500000	0.011620	0.000155
0.600000	0.012280	0.000179
0.700000	0.012808	0.000199
0.800000	0.013611	0.000232
0.900000	0.014279	0.000260
1.000000	0.015415	0.000310
1.100000	0.016367	0.000360
1.200000	0.017240	0.000400
1.300000	0.018052	0.000444
1.400000	0.019610	0.000536
1.500000	0.021137	0.000617
1.600000	0.022253	0.000699
1.700000	0.024139	0.000845
1.800000	0.025492	0.000922
1.900000	0.028673	0.001190
2.000000	0.029848	0.001270
2.100000	0.034861	0.001776
2.200000	0.037977	0.002126
2.300000	0.040789	0.002399
2.400000	0.048969	0.003535
2.500000	0.050968	0.003795
2.600000	0.065638	0.006360
2.700000	0.078738	0.009085
2.799999	0.102909	0.015209
2.899999	0.138232	0.027202
2.999999	0.208635	0.056322
3.099999	0.237854	0.072238
3.199999	0.327716	0.121638
3.299999	0.400459	0.173017
3.399999	0.449201	0.212729
3.499999	0.490383	0.249665
3.599999	0.526875	0.284908
3.699999	0.548870	0.309196
3.799999	0.577802	0.340628
3.899998	0.594667	0.360088
3.999998	0.613841	0.382747
4.099998	0.624499	0.396607
4.199998	0.644559	0.421032
4.299998	0.657740	0.437818
4.399998	0.671715	0.456024
4.499998	0.682813	0.470938
4.599998	0.696383	0.489162
4.699998	0.705916	0.502396
4.799998	0.715009	0.515168
4.899998	0.722421	0.525682
4.999998	0.731081	0.538081
5.099998	0.738321	0.548580
5.199997	0.745771	0.559477
5.299997	0.752622	0.569641
5.399997	0.758363	0.578241
5.499997	0.763941	0.586673
5.599997	0.769426	0.594992
5.699997	0.774920	0.603402
5.799997	0.780037	0.611269
5.899997	0.785383	0.619562
5.999997	0.789511	0.625979
